Country,Invoice_Month,O&D_Net_Count,PNR,Primary_Product_Code,Carrier_Code_Validating,Low_Cost_Indicator,Abonnement_SNCF,Carrier_Validating,Departure_Date,Arrival_Date,Ticket_Number,Origin_City,Destination_City,Origin_Country,Destination_Country,Origin_Region,Destination_Region,Directional_City_Pair,Class_Type,O&D_Class_of_Service_Invoice_Predominant,Round_Trip_Indicator,Exchange_Refund_Code,Reason_Code_Description,Booking_Date,Invoice_Date,Client_ID_Name,Level_4_Division_code,Level_4_Division_Desc,Level_12_CDR_Code,Customer_Defined_05,Customer_Defined_06,O&D_Mileage
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-09-15,9/15/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,8/19/2022,9/2/2022,ORANGE SA,AA,Orange France,DTR01,INTERVENTION_TECHNIQUE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-26,10/26/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,8/30/2022,9/6/2022,ORANGE SA,AA,Orange France,BSCD6,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-13,10/13/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/23/2022,9/23/2022,ORANGE SA,AA,Orange France,NLTTA,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-09-08,9/8/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,8/18/2022,9/2/2022,ORANGE SA,AA,Orange France,DTH01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-23,9/23/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/9/2022,9/9/2022,ORANGE SA,AA,Orange France,DEIII,REUNION_INTERNE,,352
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-09-23,9/23/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,7/1/2022,9/15/2022,ORANGE SA,AN,Orange Wholesale International,RIHHK,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-06,9/6/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/2/2022,9/2/2022,ORANGE SA,AA,Orange France,STT01,REUNION_EXTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-11-07,11/7/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/29/2022,9/29/2022,ORANGE SA,AA,Orange France,CEM01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-09-23,9/23/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/2/2022,9/14/2022,ORANGE SA,AN,Orange Wholesale International,CNW00,FORMATION,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-10-19,10/19/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/23/2022,9/23/2022,ORANGE SA,AA,Orange France,CWKDN,REUNION_INTERNE,,352
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-09-27,9/27/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,9/20/2022,9/21/2022,ORANGE SA,AA,Orange France,STT01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-11,10/11/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/21/2022,9/21/2022,ORANGE SA,AA,Orange France,STT01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-10-26,10/26/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/21/2022,9/26/2022,ORANGE SA,AA,Orange France,OCCSU,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-10-19,10/19/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/1/2022,9/13/2022,ORANGE SA,AA,Orange France,EBEN0,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-11-17,11/17/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/13/2022,9/23/2022,ORANGE SA,AA,Orange France,RAI05,FORMATION,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-06,10/6/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/12/2022,9/12/2022,ORANGE SA,AA,Orange France,PAS01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-23,9/23/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/9/2022,9/9/2022,ORANGE SA,AN,Orange Wholesale International,RIZTI,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-06,10/6/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/15/2022,9/15/2022,ORANGE SA,AA,Orange France,DLCDE,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-12,10/12/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/9/2022,9/9/2022,ORANGE SA,AA,Orange France,DLCDE,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-10-27,10/27/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,8/29/2022,9/28/2022,ORANGE SA,AA,Orange France,CIT01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-10-26,10/26/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,8/29/2022,9/8/2022,ORANGE SA,AA,Orange France,CIT01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-10-04,10/4/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,8/29/2022,9/5/2022,ORANGE SA,AA,Orange France,CIT01,REUNION_INTERNE,,352
